2 r 15.0000; phi 0.0000; x 0.7500; y 0.0000; t_rel 1.0000;
3 r 5.2130; phi -0.5634; x 0.2204; y -0.1392; t_rel 0.6172;
3 r 5.2095; phi -0.5641; x 0.2201; y -0.1393; t_rel 0.6171;
3 r 5.2061; phi -0.5647; x 0.2199; y -0.1393; t_rel 0.6169;
3 r 5.2027; phi -0.5653; x 0.2197; y -0.1394; t_rel 0.6167;
3 r 5.1994; phi -0.5660; x 0.2194; y -0.1394; t_rel 0.6166;
3 r 5.1960; phi -0.5666; x 0.2192; y -0.1394; t_rel 0.6164;
3 r 5.1926; phi -0.5672; x 0.2190; y -0.1395; t_rel 0.6162;
3 r 5.1892; phi -0.5678; x 0.2187; y -0.1395; t_rel 0.6161;
3 r 5.1858; phi -0.5685; x 0.2185; y -0.1396; t_rel 0.6159;
3 r 5.1825; phi -0.5691; x 0.2183; y -0.1396; t_rel 0.6157;
3 r 5.1791; phi -0.5697; x 0.2181; y -0.1397; t_rel 0.6156;
3 r 5.1758; phi -0.5704; x 0.2178; y -0.1397; t_rel 0.6154;
3 r 5.1724; phi -0.5710; x 0.2176; y -0.1398; t_rel 0.6152;
3 r 5.1691; phi -0.5716; x 0.2174; y -0.1398; t_rel 0.6151;
3 r 5.1657; phi -0.5722; x 0.2171; y -0.1399; t_rel 0.6149;
3 r 5.1624; phi -0.5729; x 0.2169; y -0.1399; t_rel 0.6147;
3 r 5.1591; phi -0.5735; x 0.2167; y -0.1400; t_rel 0.6146;
3 r 5.1557; phi -0.5741; x 0.2165; y -0.1400; t_rel 0.6144;
3 r 5.1524; phi -0.5748; x 0.2162; y -0.1401; t_rel 0.6142;
3 r 5.1491; phi -0.5754; x 0.2160; y -0.1401; t_rel 0.6141;
3 r 5.1458; phi -0.5760; x 0.2158; y -0.1401; t_rel 0.6139;
3 r 5.1425; phi -0.5767; x 0.2155; y -0.1402; t_rel 0.6137;
3 r 5.1392; phi -0.5773; x 0.2153; y -0.1402; t_rel 0.6136;
3 r 5.1359; phi -0.5779; x 0.2151; y -0.1403; t_rel 0.6134;
3 r 5.1326; phi -0.5785; x 0.2149; y -0.1403; t_rel 0.6132;
3 r 5.1293; phi -0.5792; x 0.2146; y -0.1404; t_rel 0.6131;
3 r 5.1261; phi -0.5798; x 0.2144; y -0.1404; t_rel 0.6129;
3 r 5.1228; phi -0.5804; x 0.2142; y -0.1405; t_rel 0.6128;
3 r 5.1195; phi -0.5811; x 0.2140; y -0.1405; t_rel 0.6126;
3 r 5.1163; phi -0.5817; x 0.2137; y -0.1406; t_rel 0.6124;
3 r 5.1130; phi -0.5823; x 0.2135; y -0.1406; t_rel 0.6123;
3 r 5.1097; phi -0.5829; x 0.2133; y -0.1406; t_rel 0.6121;
3 r 5.1065; phi -0.5836; x 0.2131; y -0.1407; t_rel 0.6119;
3 r 5.1033; phi -0.5842; x 0.2128; y -0.1407; t_rel 0.6118;
3 r 5.1000; phi -0.5848; x 0.2126; y -0.1408; t_rel 0.6116;
3 r 5.0968; phi -0.5855; x 0.2124; y -0.1408; t_rel 0.6115;
3 r 5.0936; phi -0.5861; x 0.2122; y -0.1409; t_rel 0.6113;
3 r 5.0903; phi -0.5867; x 0.2120; y -0.1409; t_rel 0.6111;
3 r 5.0871; phi -0.5873; x 0.2117; y -0.1410; t_rel 0.6110;
3 r 5.0839; phi -0.5880; x 0.2115; y -0.1410; t_rel 0.6108;
3 r 5.0807; phi -0.5886; x 0.2113; y -0.1410; t_rel 0.6107;
3 r 5.0775; phi -0.5892; x 0.2111; y -0.1411; t_rel 0.6105;
3 r 5.0743; phi -0.5899; x 0.2108; y -0.1411; t_rel 0.6103;
3 r 5.0711; phi -0.5905; x 0.2106; y -0.1412; t_rel 0.6102;
3 r 5.0679; phi -0.5911; x 0.2104; y -0.1412; t_rel 0.6100;
3 r 5.0647; phi -0.5917; x 0.2102; y -0.1413; t_rel 0.6098;
3 r 5.0615; phi -0.5924; x 0.2100; y -0.1413; t_rel 0.6097;
3 r 5.0584; phi -0.5930; x 0.2097; y -0.1413; t_rel 0.6095;
3 r 5.0552; phi -0.5936; x 0.2095; y -0.1414; t_rel 0.6094;
3 r 5.0520; phi -0.5943; x 0.2093; y -0.1414; t_rel 0.6092;
3 r 5.0489; phi -0.5949; x 0.2091; y -0.1415; t_rel 0.6091;
3 r 5.0457; phi -0.5955; x 0.2089; y -0.1415; t_rel 0.6089;
3 r 5.0426; phi -0.5961; x 0.2086; y -0.1416; t_rel 0.6087;
3 r 5.0394; phi -0.5968; x 0.2084; y -0.1416; t_rel 0.6086;
3 r 5.0363; phi -0.5974; x 0.2082; y -0.1416; t_rel 0.6084;
3 r 5.0331; phi -0.5980; x 0.2080; y -0.1417; t_rel 0.6083;
3 r 5.0300; phi -0.5987; x 0.2078; y -0.1417; t_rel 0.6081;
3 r 5.0269; phi -0.5993; x 0.2075; y -0.1418; t_rel 0.6079;
3 r 5.0238; phi -0.5999; x 0.2073; y -0.1418; t_rel 0.6078;
3 r 5.0206; phi -0.6005; x 0.2071; y -0.1419; t_rel 0.6076;
3 r 5.0175; phi -0.6012; x 0.2069; y -0.1419; t_rel 0.6075;
3 r 5.0144; phi -0.6018; x 0.2067; y -0.1419; t_rel 0.6073;
3 r 5.0113; phi -0.6024; x 0.2065; y -0.1420; t_rel 0.6072;
3 r 5.0082; phi -0.6031; x 0.2062; y -0.1420; t_rel 0.6070;
3 r 5.0051; phi -0.6037; x 0.2060; y -0.1421; t_rel 0.6068;
3 r 5.0020; phi -0.6043; x 0.2058; y -0.1421; t_rel 0.6067;
3 r 4.9990; phi -0.6049; x 0.2056; y -0.1422; t_rel 0.6065;
3 r 4.9959; phi -0.6056; x 0.2054; y -0.1422; t_rel 0.6064;
3 r 4.9928; phi -0.6062; x 0.2052; y -0.1422; t_rel 0.6062;
3 r 4.9897; phi -0.6068; x 0.2049; y -0.1423; t_rel 0.6061;
3 r 4.9867; phi -0.6075; x 0.2047; y -0.1423; t_rel 0.6059;
3 r 4.9836; phi -0.6081; x 0.2045; y -0.1424; t_rel 0.6057;
3 r 4.9805; phi -0.6087; x 0.2043; y -0.1424; t_rel 0.6056;
3 r 4.9775; phi -0.6094; x 0.2041; y -0.1424; t_rel 0.6054;
3 r 4.9744; phi -0.6100; x 0.2039; y -0.1425; t_rel 0.6053;
3 r 4.9714; phi -0.6106; x 0.2037; y -0.1425; t_rel 0.6051;
3 r 4.9684; phi -0.6112; x 0.2034; y -0.1426; t_rel 0.6050;
3 r 4.9653; phi -0.6119; x 0.2032; y -0.1426; t_rel 0.6048;
3 r 4.9623; phi -0.6125; x 0.2030; y -0.1426; t_rel 0.6047;
3 r 4.9593; phi -0.6131; x 0.2028; y -0.1427; t_rel 0.6045;
3 r 4.9562; phi -0.6138; x 0.2026; y -0.1427; t_rel 0.6044;
3 r 4.9532; phi -0.6144; x 0.2024; y -0.1428; t_rel 0.6042;
3 r 4.9502; phi -0.6150; x 0.2022; y -0.1428; t_rel 0.6040;
3 r 4.9472; phi -0.6156; x 0.2019; y -0.1428; t_rel 0.6039;
3 r 4.9442; phi -0.6163; x 0.2017; y -0.1429; t_rel 0.6037;
3 r 4.9412; phi -0.6169; x 0.2015; y -0.1429; t_rel 0.6036;
3 r 4.9382; phi -0.6175; x 0.2013; y -0.1430; t_rel 0.6034;
3 r 4.9352; phi -0.6182; x 0.2011; y -0.1430; t_rel 0.6033;
3 r 4.9322; phi -0.6188; x 0.2009; y -0.1430; t_rel 0.6031;
3 r 4.9292; phi -0.6194; x 0.2007; y -0.1431; t_rel 0.6030;
3 r 4.9263; phi -0.6200; x 0.2005; y -0.1431; t_rel 0.6028;
3 r 4.9233; phi -0.6207; x 0.2003; y -0.1432; t_rel 0.6027;
3 r 4.9203; phi -0.6213; x 0.2000; y -0.1432; t_rel 0.6025;
3 r 4.9174; phi -0.6219; x 0.1998; y -0.1432; t_rel 0.6024;
3 r 4.9144; phi -0.6226; x 0.1996; y -0.1433; t_rel 0.6022;
3 r 4.9114; phi -0.6232; x 0.1994; y -0.1433; t_rel 0.6021;
3 r 4.9085; phi -0.6238; x 0.1992; y -0.1434; t_rel 0.6019;
3 r 4.9055; phi -0.6244; x 0.1990; y -0.1434; t_rel 0.6018;
3 r 4.9026; phi -0.6251; x 0.1988; y -0.1434; t_rel 0.6016;
3 r 4.8997; phi -0.6257; x 0.1986; y -0.1435; t_rel 0.6015;
3 r 4.8967; phi -0.6263; x 0.1984; y -0.1435; t_rel 0.6013;
3 r 4.8938; phi -0.6270; x 0.1982; y -0.1436; t_rel 0.6012;
3 r 4.8909; phi -0.6276; x 0.1979; y -0.1436; t_rel 0.6010;
3 r 4.8879; phi -0.6282; x 0.1977; y -0.1436; t_rel 0.6009;
3 r 4.8850; phi -0.6288; x 0.1975; y -0.1437; t_rel 0.6007;
3 r 4.8821; phi -0.6295; x 0.1973; y -0.1437; t_rel 0.6006;
3 r 4.8792; phi -0.6301; x 0.1971; y -0.1437; t_rel 0.6004;
3 r 4.8763; phi -0.6307; x 0.1969; y -0.1438; t_rel 0.6003;
3 r 4.8734; phi -0.6314; x 0.1967; y -0.1438; t_rel 0.6001;
3 r 4.8705; phi -0.6320; x 0.1965; y -0.1439; t_rel 0.6000;
3 r 4.8676; phi -0.6326; x 0.1963; y -0.1439; t_rel 0.5998;
3 r 4.8647; phi -0.6332; x 0.1961; y -0.1439; t_rel 0.5997;
3 r 4.8618; phi -0.6339; x 0.1959; y -0.1440; t_rel 0.5995;
3 r 4.8590; phi -0.6345; x 0.1957; y -0.1440; t_rel 0.5994;
3 r 4.8561; phi -0.6351; x 0.1955; y -0.1441; t_rel 0.5992;
3 r 4.8532; phi -0.6358; x 0.1952; y -0.1441; t_rel 0.5991;
3 r 4.8503; phi -0.6364; x 0.1950; y -0.1441; t_rel 0.5989;
3 r 4.8475; phi -0.6370; x 0.1948; y -0.1442; t_rel 0.5988;
3 r 4.8446; phi -0.6376; x 0.1946; y -0.1442; t_rel 0.5986;
3 r 4.8418; phi -0.6383; x 0.1944; y -0.1442; t_rel 0.5985;
3 r 4.8389; phi -0.6389; x 0.1942; y -0.1443; t_rel 0.5983;
3 r 4.8361; phi -0.6395; x 0.1940; y -0.1443; t_rel 0.5982;
3 r 4.8332; phi -0.6402; x 0.1938; y -0.1444; t_rel 0.5980;
3 r 4.8304; phi -0.6408; x 0.1936; y -0.1444; t_rel 0.5979;
3 r 4.8275; phi -0.6414; x 0.1934; y -0.1444; t_rel 0.5977;
3 r 4.8247; phi -0.6420; x 0.1932; y -0.1445; t_rel 0.5976;
3 r 4.8219; phi -0.6427; x 0.1930; y -0.1445; t_rel 0.5974;
3 r 4.8191; phi -0.6433; x 0.1928; y -0.1445; t_rel 0.5973;
3 r 4.8162; phi -0.6439; x 0.1926; y -0.1446; t_rel 0.5971;
3 r 4.8134; phi -0.6446; x 0.1924; y -0.1446; t_rel 0.5970;
3 r 4.8106; phi -0.6452; x 0.1922; y -0.1446; t_rel 0.5969;
3 r 4.8078; phi -0.6458; x 0.1920; y -0.1447; t_rel 0.5967;
3 r 4.8050; phi -0.6465; x 0.1918; y -0.1447; t_rel 0.5966;
3 r 4.8022; phi -0.6471; x 0.1916; y -0.1448; t_rel 0.5964;
3 r 4.7994; phi -0.6477; x 0.1914; y -0.1448; t_rel 0.5963;
3 r 4.7966; phi -0.6483; x 0.1912; y -0.1448; t_rel 0.5961;
3 r 4.7938; phi -0.6490; x 0.1910; y -0.1449; t_rel 0.5960;
3 r 4.7911; phi -0.6496; x 0.1908; y -0.1449; t_rel 0.5958;
3 r 4.7883; phi -0.6502; x 0.1906; y -0.1449; t_rel 0.5957;
3 r 4.7855; phi -0.6509; x 0.1904; y -0.1450; t_rel 0.5955;
3 r 4.7827; phi -0.6515; x 0.1902; y -0.1450; t_rel 0.5954;
3 r 4.7800; phi -0.6521; x 0.1900; y -0.1450; t_rel 0.5953;
3 r 4.7772; phi -0.6527; x 0.1898; y -0.1451; t_rel 0.5951;
3 r 4.7744; phi -0.6534; x 0.1896; y -0.1451; t_rel 0.5950;
3 r 4.7717; phi -0.6540; x 0.1894; y -0.1451; t_rel 0.5948;
3 r 4.7689; phi -0.6546; x 0.1892; y -0.1452; t_rel 0.5947;
3 r 4.7662; phi -0.6553; x 0.1890; y -0.1452; t_rel 0.5945;
3 r 4.7634; phi -0.6559; x 0.1888; y -0.1453; t_rel 0.5944;
3 r 4.7607; phi -0.6565; x 0.1886; y -0.1453; t_rel 0.5942;
3 r 4.7580; phi -0.6571; x 0.1884; y -0.1453; t_rel 0.5941;
3 r 4.7552; phi -0.6578; x 0.1882; y -0.1454; t_rel 0.5940;
3 r 4.7525; phi -0.6584; x 0.1880; y -0.1454; t_rel 0.5938;
3 r 4.7498; phi -0.6590; x 0.1878; y -0.1454; t_rel 0.5937;
3 r 4.7471; phi -0.6597; x 0.1876; y -0.1455; t_rel 0.5935;
3 r 4.7443; phi -0.6603; x 0.1874; y -0.1455; t_rel 0.5934;
3 r 4.7416; phi -0.6609; x 0.1872; y -0.1455; t_rel 0.5932;
3 r 4.7389; phi -0.6615; x 0.1870; y -0.1456; t_rel 0.5931;
3 r 4.7362; phi -0.6622; x 0.1868; y -0.1456; t_rel 0.5930;
3 r 4.7335; phi -0.6628; x 0.1866; y -0.1456; t_rel 0.5928;
3 r 4.7308; phi -0.6634; x 0.1864; y -0.1457; t_rel 0.5927;
3 r 4.7281; phi -0.6641; x 0.1862; y -0.1457; t_rel 0.5925;
3 r 4.7254; phi -0.6647; x 0.1860; y -0.1457; t_rel 0.5924;
3 r 4.7227; phi -0.6653; x 0.1858; y -0.1458; t_rel 0.5922;
3 r 4.7201; phi -0.6659; x 0.1856; y -0.1458; t_rel 0.5921;
3 r 4.7174; phi -0.6666; x 0.1854; y -0.1458; t_rel 0.5920;
3 r 4.7147; phi -0.6672; x 0.1852; y -0.1459; t_rel 0.5918;
3 r 4.7120; phi -0.6678; x 0.1850; y -0.1459; t_rel 0.5917;
3 r 4.7094; phi -0.6685; x 0.1848; y -0.1459; t_rel 0.5915;
3 r 4.7067; phi -0.6691; x 0.1846; y -0.1460; t_rel 0.5914;
3 r 4.7040; phi -0.6697; x 0.1844; y -0.1460; t_rel 0.5913;
3 r 4.7014; phi -0.6703; x 0.1842; y -0.1460; t_rel 0.5911;
3 r 4.6987; phi -0.6710; x 0.1840; y -0.1461; t_rel 0.5910;
3 r 4.6961; phi -0.6716; x 0.1838; y -0.1461; t_rel 0.5908;
3 r 4.6934; phi -0.6722; x 0.1836; y -0.1461; t_rel 0.5907;
3 r 4.6908; phi -0.6729; x 0.1834; y -0.1462; t_rel 0.5906;
3 r 4.6881; phi -0.6735; x 0.1832; y -0.1462; t_rel 0.5904;
3 r 4.6855; phi -0.6741; x 0.1830; y -0.1462; t_rel 0.5903;
3 r 4.6829; phi -0.6747; x 0.1828; y -0.1463; t_rel 0.5901;
3 r 4.6803; phi -0.6754; x 0.1826; y -0.1463; t_rel 0.5900;
3 r 4.6776; phi -0.6760; x 0.1824; y -0.1463; t_rel 0.5899;
3 r 4.6750; phi -0.6766; x 0.1823; y -0.1464; t_rel 0.5897;
3 r 4.6724; phi -0.6773; x 0.1821; y -0.1464; t_rel 0.5896;
3 r 4.6698; phi -0.6779; x 0.1819; y -0.1464; t_rel 0.5894;
3 r 4.6672; phi -0.6785; x 0.1817; y -0.1465; t_rel 0.5893;
3 r 4.6646; phi -0.6791; x 0.1815; y -0.1465; t_rel 0.5892;
3 r 4.6620; phi -0.6798; x 0.1813; y -0.1465; t_rel 0.5890;
3 r 4.6594; phi -0.6804; x 0.1811; y -0.1466; t_rel 0.5889;
3 r 4.6568; phi -0.6810; x 0.1809; y -0.1466; t_rel 0.5887;
3 r 4.6542; phi -0.6817; x 0.1807; y -0.1466; t_rel 0.5886;
3 r 4.6516; phi -0.6823; x 0.1805; y -0.1467; t_rel 0.5885;
3 r 4.6490; phi -0.6829; x 0.1803; y -0.1467; t_rel 0.5883;
3 r 4.6464; phi -0.6836; x 0.1801; y -0.1467; t_rel 0.5882;
3 r 4.6438; phi -0.6842; x 0.1799; y -0.1468; t_rel 0.5881;
3 r 4.6413; phi -0.6848; x 0.1797; y -0.1468; t_rel 0.5879;
3 r 4.6387; phi -0.6854; x 0.1796; y -0.1468; t_rel 0.5878;
3 r 4.6361; phi -0.6861; x 0.1794; y -0.1468; t_rel 0.5876;
3 r 4.6336; phi -0.6867; x 0.1792; y -0.1469; t_rel 0.5875;
3 r 4.6310; phi -0.6873; x 0.1790; y -0.1469; t_rel 0.5874;
3 r 4.6284; phi -0.6880; x 0.1788; y -0.1469; t_rel 0.5872;
3 r 4.6259; phi -0.6886; x 0.1786; y -0.1470; t_rel 0.5871;
3 r 4.6233; phi -0.6892; x 0.1784; y -0.1470; t_rel 0.5870;
3 r 4.6208; phi -0.6898; x 0.1782; y -0.1470; t_rel 0.5868;
3 r 4.6182; phi -0.6905; x 0.1780; y -0.1471; t_rel 0.5867;
3 r 4.6157; phi -0.6911; x 0.1778; y -0.1471; t_rel 0.5866;
3 r 4.6132; phi -0.6917; x 0.1776; y -0.1471; t_rel 0.5864;
3 r 4.6106; phi -0.6924; x 0.1775; y -0.1472; t_rel 0.5863;
3 r 4.6081; phi -0.6930; x 0.1773; y -0.1472; t_rel 0.5861;
3 r 4.6056; phi -0.6936; x 0.1771; y -0.1472; t_rel 0.5860;
3 r 4.6031; phi -0.6942; x 0.1769; y -0.1473; t_rel 0.5859;
3 r 4.6005; phi -0.6949; x 0.1767; y -0.1473; t_rel 0.5857;
3 r 4.5980; phi -0.6955; x 0.1765; y -0.1473; t_rel 0.5856;
3 r 4.5955; phi -0.6961; x 0.1763; y -0.1473; t_rel 0.5855;
3 r 4.5930; phi -0.6968; x 0.1761; y -0.1474; t_rel 0.5853;
3 r 4.5905; phi -0.6974; x 0.1759; y -0.1474; t_rel 0.5852;
3 r 4.5880; phi -0.6980; x 0.1757; y -0.1474; t_rel 0.5851;
3 r 4.5855; phi -0.6986; x 0.1756; y -0.1475; t_rel 0.5849;
3 r 4.5830; phi -0.6993; x 0.1754; y -0.1475; t_rel 0.5848;
3 r 4.5805; phi -0.6999; x 0.1752; y -0.1475; t_rel 0.5847;
3 r 4.5780; phi -0.7005; x 0.1750; y -0.1476; t_rel 0.5845;
3 r 4.5755; phi -0.7012; x 0.1748; y -0.1476; t_rel 0.5844;
3 r 4.5730; phi -0.7018; x 0.1746; y -0.1476; t_rel 0.5843;
3 r 4.5706; phi -0.7024; x 0.1744; y -0.1476; t_rel 0.5841;
3 r 4.5681; phi -0.7030; x 0.1742; y -0.1477; t_rel 0.5840;
3 r 4.5656; phi -0.7037; x 0.1741; y -0.1477; t_rel 0.5839;
3 r 4.5631; phi -0.7043; x 0.1739; y -0.1477; t_rel 0.5837;
3 r 4.5607; phi -0.7049; x 0.1737; y -0.1478; t_rel 0.5836;
3 r 4.5582; phi -0.7056; x 0.1735; y -0.1478; t_rel 0.5834;
3 r 4.5558; phi -0.7062; x 0.1733; y -0.1478; t_rel 0.5833;
3 r 4.5533; phi -0.7068; x 0.1731; y -0.1478; t_rel 0.5832;
3 r 4.5508; phi -0.7074; x 0.1729; y -0.1479; t_rel 0.5831;
3 r 4.5484; phi -0.7081; x 0.1728; y -0.1479; t_rel 0.5829;
3 r 4.5459; phi -0.7087; x 0.1726; y -0.1479; t_rel 0.5828;
3 r 4.5435; phi -0.7093; x 0.1724; y -0.1480; t_rel 0.5827;
3 r 4.5411; phi -0.7100; x 0.1722; y -0.1480; t_rel 0.5825;
3 r 4.5386; phi -0.7106; x 0.1720; y -0.1480; t_rel 0.5824;
3 r 4.5362; phi -0.7112; x 0.1718; y -0.1481; t_rel 0.5823;
3 r 4.5338; phi -0.7118; x 0.1716; y -0.1481; t_rel 0.5821;
3 r 4.5313; phi -0.7125; x 0.1715; y -0.1481; t_rel 0.5820;
3 r 4.5289; phi -0.7131; x 0.1713; y -0.1481; t_rel 0.5819;
3 r 4.5265; phi -0.7137; x 0.1711; y -0.1482; t_rel 0.5817;
3 r 4.5241; phi -0.7144; x 0.1709; y -0.1482; t_rel 0.5816;
3 r 4.5217; phi -0.7150; x 0.1707; y -0.1482; t_rel 0.5815;
3 r 4.5192; phi -0.7156; x 0.1705; y -0.1483; t_rel 0.5813;
3 r 4.5168; phi -0.7163; x 0.1703; y -0.1483; t_rel 0.5812;
3 r 4.5144; phi -0.7169; x 0.1702; y -0.1483; t_rel 0.5811;
3 r 4.5120; phi -0.7175; x 0.1700; y -0.1483; t_rel 0.5809;
3 r 4.5096; phi -0.7181; x 0.1698; y -0.1484; t_rel 0.5808;
3 r 4.5072; phi -0.7188; x 0.1696; y -0.1484; t_rel 0.5807;
3 r 4.5048; phi -0.7194; x 0.1694; y -0.1484; t_rel 0.5805;
3 r 4.5025; phi -0.7200; x 0.1692; y -0.1484; t_rel 0.5804;
3 r 4.5001; phi -0.7207; x 0.1691; y -0.1485; t_rel 0.5803;
3 r 4.4977; phi -0.7213; x 0.1689; y -0.1485; t_rel 0.5802;
3 r 4.4953; phi -0.7219; x 0.1687; y -0.1485; t_rel 0.5800;
3 r 4.4929; phi -0.7225; x 0.1685; y -0.1486; t_rel 0.5799;
3 r 4.4906; phi -0.7232; x 0.1683; y -0.1486; t_rel 0.5798;
3 r 4.4882; phi -0.7238; x 0.1681; y -0.1486; t_rel 0.5796;
3 r 4.4858; phi -0.7244; x 0.1680; y -0.1486; t_rel 0.5795;
3 r 4.4835; phi -0.7251; x 0.1678; y -0.1487; t_rel 0.5794;
3 r 4.4811; phi -0.7257; x 0.1676; y -0.1487; t_rel 0.5792;
3 r 4.4787; phi -0.7263; x 0.1674; y -0.1487; t_rel 0.5791;
3 r 4.4764; phi -0.7269; x 0.1672; y -0.1487; t_rel 0.5790;
3 r 4.4740; phi -0.7276; x 0.1671; y -0.1488; t_rel 0.5789;
3 r 4.4717; phi -0.7282; x 0.1669; y -0.1488; t_rel 0.5787;
3 r 4.4693; phi -0.7288; x 0.1667; y -0.1488; t_rel 0.5786;
3 r 4.4670; phi -0.7295; x 0.1665; y -0.1489; t_rel 0.5785;
3 r 4.4646; phi -0.7301; x 0.1663; y -0.1489; t_rel 0.5783;
3 r 4.4623; phi -0.7307; x 0.1662; y -0.1489; t_rel 0.5782;
3 r 4.4600; phi -0.7313; x 0.1660; y -0.1489; t_rel 0.5781;
3 r 4.4576; phi -0.7320; x 0.1658; y -0.1490; t_rel 0.5780;
3 r 4.4553; phi -0.7326; x 0.1656; y -0.1490; t_rel 0.5778;
3 r 4.4530; phi -0.7332; x 0.1654; y -0.1490; t_rel 0.5777;
3 r 4.4507; phi -0.7339; x 0.1653; y -0.1490; t_rel 0.5776;
3 r 4.4484; phi -0.7345; x 0.1651; y -0.1491; t_rel 0.5774;
3 r 4.4460; phi -0.7351; x 0.1649; y -0.1491; t_rel 0.5773;
3 r 4.4437; phi -0.7357; x 0.1647; y -0.1491; t_rel 0.5772;
3 r 4.4414; phi -0.7364; x 0.1645; y -0.1491; t_rel 0.5771;
3 r 4.4391; phi -0.7370; x 0.1644; y -0.1492; t_rel 0.5769;
3 r 4.4368; phi -0.7376; x 0.1642; y -0.1492; t_rel 0.5768;
3 r 4.4345; phi -0.7383; x 0.1640; y -0.1492; t_rel 0.5767;
3 r 4.4322; phi -0.7389; x 0.1638; y -0.1492; t_rel 0.5765;
3 r 4.4299; phi -0.7395; x 0.1636; y -0.1493; t_rel 0.5764;
3 r 4.4276; phi -0.7401; x 0.1635; y -0.1493; t_rel 0.5763;
3 r 4.4253; phi -0.7408; x 0.1633; y -0.1493; t_rel 0.5762;
3 r 4.4230; phi -0.7414; x 0.1631; y -0.1493; t_rel 0.5760;
3 r 4.4208; phi -0.7420; x 0.1629; y -0.1494; t_rel 0.5759;
3 r 4.4185; phi -0.7427; x 0.1627; y -0.1494; t_rel 0.5758;
3 r 4.4162; phi -0.7433; x 0.1626; y -0.1494; t_rel 0.5757;
3 r 4.4139; phi -0.7439; x 0.1624; y -0.1495; t_rel 0.5755;
3 r 4.4117; phi -0.7445; x 0.1622; y -0.1495; t_rel 0.5754;
3 r 4.4094; phi -0.7452; x 0.1620; y -0.1495; t_rel 0.5753;
3 r 4.4071; phi -0.7458; x 0.1619; y -0.1495; t_rel 0.5751;
3 r 4.4049; phi -0.7464; x 0.1617; y -0.1496; t_rel 0.5750;
3 r 4.4026; phi -0.7471; x 0.1615; y -0.1496; t_rel 0.5749;
3 r 4.4003; phi -0.7477; x 0.1613; y -0.1496; t_rel 0.5748;
3 r 4.3981; phi -0.7483; x 0.1612; y -0.1496; t_rel 0.5746;
3 r 4.3958; phi -0.7489; x 0.1610; y -0.1496; t_rel 0.5745;
3 r 4.3936; phi -0.7496; x 0.1608; y -0.1497; t_rel 0.5744;
3 r 4.3913; phi -0.7502; x 0.1606; y -0.1497; t_rel 0.5743;
3 r 4.3891; phi -0.7508; x 0.1604; y -0.1497; t_rel 0.5741;
3 r 4.3869; phi -0.7515; x 0.1603; y -0.1497; t_rel 0.5740;
3 r 4.3846; phi -0.7521; x 0.1601; y -0.1498; t_rel 0.5739;
3 r 4.3824; phi -0.7527; x 0.1599; y -0.1498; t_rel 0.5738;
3 r 4.3801; phi -0.7534; x 0.1597; y -0.1498; t_rel 0.5736;
3 r 4.3779; phi -0.7540; x 0.1596; y -0.1498; t_rel 0.5735;
3 r 4.3757; phi -0.7546; x 0.1594; y -0.1499; t_rel 0.5734;
3 r 4.3735; phi -0.7552; x 0.1592; y -0.1499; t_rel 0.5733;
3 r 4.3712; phi -0.7559; x 0.1590; y -0.1499; t_rel 0.5731;
3 r 4.3690; phi -0.7565; x 0.1589; y -0.1499; t_rel 0.5730;
3 r 4.3668; phi -0.7571; x 0.1587; y -0.1500; t_rel 0.5729;
3 r 4.3646; phi -0.7578; x 0.1585; y -0.1500; t_rel 0.5728;
3 r 4.3624; phi -0.7584; x 0.1583; y -0.1500; t_rel 0.5726;
3 r 4.3602; phi -0.7590; x 0.1582; y -0.1500; t_rel 0.5725;
3 r 4.3580; phi -0.7596; x 0.1580; y -0.1501; t_rel 0.5724;
3 r 4.3558; phi -0.7603; x 0.1578; y -0.1501; t_rel 0.5723;
3 r 4.3536; phi -0.7609; x 0.1576; y -0.1501; t_rel 0.5722;
3 r 4.3514; phi -0.7615; x 0.1575; y -0.1501; t_rel 0.5720;
3 r 4.3492; phi -0.7622; x 0.1573; y -0.1502; t_rel 0.5719;
3 r 4.3470; phi -0.7628; x 0.1571; y -0.1502; t_rel 0.5718;
3 r 4.3448; phi -0.7634; x 0.1570; y -0.1502; t_rel 0.5717;
3 r 4.3426; phi -0.7640; x 0.1568; y -0.1502; t_rel 0.5715;
4 r 4.3405; phi -0.7647; x 0.1566; y -0.1502; t_rel 0.5714;
4 r 4.3383; phi -0.7653; x 0.1564; y -0.1503; t_rel 0.5713;
4 r 4.3361; phi -0.7659; x 0.1563; y -0.1503; t_rel 0.5712;
4 r 4.3339; phi -0.7666; x 0.1561; y -0.1503; t_rel 0.5710;
4 r 4.3318; phi -0.7672; x 0.1559; y -0.1503; t_rel 0.5709;
4 r 4.3296; phi -0.7678; x 0.1557; y -0.1504; t_rel 0.5708;
4 r 4.3274; phi -0.7684; x 0.1556; y -0.1504; t_rel 0.5707;
4 r 4.3253; phi -0.7691; x 0.1554; y -0.1504; t_rel 0.5706;
4 r 4.3231; phi -0.7697; x 0.1552; y -0.1504; t_rel 0.5704;
4 r 4.3209; phi -0.7703; x 0.1551; y -0.1504; t_rel 0.5703;
4 r 4.3188; phi -0.7710; x 0.1549; y -0.1505; t_rel 0.5702;
4 r 4.3166; phi -0.7716; x 0.1547; y -0.1505; t_rel 0.5701;
