2 r 12.0424; phi -0.0968; x 0.5993; y -0.0582; t_rel 0.8436;
2 r 12.0314; phi -0.0974; x 0.5987; y -0.0585; t_rel 0.8430;
2 r 12.0081; phi -0.0981; x 0.5975; y -0.0588; t_rel 0.8418;
2 r 11.9988; phi -0.0987; x 0.5970; y -0.0591; t_rel 0.8412;
2 r 11.9822; phi -0.0993; x 0.5962; y -0.0594; t_rel 0.8403;
2 r 11.9645; phi -0.1000; x 0.5952; y -0.0597; t_rel 0.8394;
2 r 11.9551; phi -0.1006; x 0.5947; y -0.0600; t_rel 0.8389;
2 r 11.9347; phi -0.1012; x 0.5937; y -0.0603; t_rel 0.8378;
2 r 11.9207; phi -0.1018; x 0.5929; y -0.0606; t_rel 0.8370;
2 r 11.9113; phi -0.1025; x 0.5924; y -0.0609; t_rel 0.8365;
2 r 11.8889; phi -0.1031; x 0.5913; y -0.0612; t_rel 0.8353;
2 r 11.8769; phi -0.1037; x 0.5907; y -0.0615; t_rel 0.8347;
2 r 11.8675; phi -0.1044; x 0.5901; y -0.0618; t_rel 0.8341;
2 r 11.8447; phi -0.1050; x 0.5890; y -0.0621; t_rel 0.8329;
2 r 11.8331; phi -0.1056; x 0.5884; y -0.0624; t_rel 0.8323;
2 r 11.8236; phi -0.1062; x 0.5878; y -0.0627; t_rel 0.8318;
2 r 11.8020; phi -0.1069; x 0.5867; y -0.0629; t_rel 0.8306;
2 r 11.7892; phi -0.1075; x 0.5861; y -0.0632; t_rel 0.8299;
2 r 11.7797; phi -0.1081; x 0.5855; y -0.0636; t_rel 0.8294;
2 r 11.7607; phi -0.1088; x 0.5846; y -0.0638; t_rel 0.8284;
2 r 11.7453; phi -0.1094; x 0.5838; y -0.0641; t_rel 0.8275;
2 r 11.7358; phi -0.1100; x 0.5832; y -0.0644; t_rel 0.8270;
2 r 11.7208; phi -0.1106; x 0.5825; y -0.0647; t_rel 0.8262;
2 r 11.7014; phi -0.1113; x 0.5815; y -0.0650; t_rel 0.8251;
2 r 11.6918; phi -0.1119; x 0.5809; y -0.0653; t_rel 0.8246;
2 r 11.6820; phi -0.1125; x 0.5804; y -0.0656; t_rel 0.8241;
