2 r 12.1083; phi -0.0880; x 0.6031; y -0.0532; t_rel 0.8983;
2 r 12.0919; phi -0.0886; x 0.6022; y -0.0535; t_rel 0.8977;
2 r 12.0755; phi -0.0893; x 0.6014; y -0.0538; t_rel 0.8971;
2 r 12.0592; phi -0.0899; x 0.6005; y -0.0541; t_rel 0.8966;
2 r 12.0429; phi -0.0905; x 0.5997; y -0.0544; t_rel 0.8960;
2 r 12.0267; phi -0.0911; x 0.5988; y -0.0547; t_rel 0.8954;
2 r 12.0105; phi -0.0918; x 0.5980; y -0.0550; t_rel 0.8948;
2 r 11.9944; phi -0.0924; x 0.5972; y -0.0553; t_rel 0.8942;
2 r 11.9784; phi -0.0930; x 0.5963; y -0.0556; t_rel 0.8936;
2 r 11.9623; phi -0.0937; x 0.5955; y -0.0559; t_rel 0.8931;
2 r 11.9463; phi -0.0943; x 0.5947; y -0.0562; t_rel 0.8925;
2 r 11.9304; phi -0.0949; x 0.5938; y -0.0565; t_rel 0.8919;
2 r 11.9145; phi -0.0955; x 0.5930; y -0.0568; t_rel 0.8914;
2 r 11.8987; phi -0.0962; x 0.5922; y -0.0571; t_rel 0.8908;
2 r 11.8829; phi -0.0968; x 0.5914; y -0.0574; t_rel 0.8902;
2 r 11.8671; phi -0.0974; x 0.5905; y -0.0577; t_rel 0.8896;
2 r 11.8514; phi -0.0981; x 0.5897; y -0.0580; t_rel 0.8891;
2 r 11.8358; phi -0.0987; x 0.5889; y -0.0583; t_rel 0.8885;
2 r 11.8201; phi -0.0993; x 0.5881; y -0.0586; t_rel 0.8880;
2 r 11.8046; phi -0.0999; x 0.5873; y -0.0589; t_rel 0.8874;
2 r 11.7890; phi -0.1006; x 0.5865; y -0.0592; t_rel 0.8868;
2 r 11.7736; phi -0.1012; x 0.5857; y -0.0595; t_rel 0.8863;
2 r 11.7581; phi -0.1018; x 0.5849; y -0.0598; t_rel 0.8857;
2 r 11.7427; phi -0.1025; x 0.5841; y -0.0601; t_rel 0.8852;
2 r 11.7274; phi -0.1031; x 0.5833; y -0.0603; t_rel 0.8846;
2 r 11.7121; phi -0.1037; x 0.5825; y -0.0606; t_rel 0.8841;
2 r 11.6968; phi -0.1043; x 0.5817; y -0.0609; t_rel 0.8835;
2 r 11.6816; phi -0.1050; x 0.5809; y -0.0612; t_rel 0.8829;
2 r 11.6664; phi -0.1056; x 0.5801; y -0.0615; t_rel 0.8824;
2 r 11.6513; phi -0.1062; x 0.5793; y -0.0618; t_rel 0.8819;
2 r 11.6362; phi -0.1069; x 0.5785; y -0.0621; t_rel 0.8813;
2 r 11.6211; phi -0.1075; x 0.5777; y -0.0623; t_rel 0.8808;
2 r 11.6061; phi -0.1081; x 0.5769; y -0.0626; t_rel 0.8802;
2 r 11.5911; phi -0.1087; x 0.5761; y -0.0629; t_rel 0.8797;
2 r 11.5762; phi -0.1094; x 0.5754; y -0.0632; t_rel 0.8791;
2 r 11.5613; phi -0.1100; x 0.5746; y -0.0635; t_rel 0.8786;
2 r 11.5465; phi -0.1106; x 0.5738; y -0.0637; t_rel 0.8781;
2 r 11.5317; phi -0.1113; x 0.5730; y -0.0640; t_rel 0.8775;
2 r 11.5169; phi -0.1119; x 0.5722; y -0.0643; t_rel 0.8770;
2 r 11.5022; phi -0.1125; x 0.5715; y -0.0646; t_rel 0.8765;
2 r 11.4875; phi -0.1131; x 0.5707; y -0.0649; t_rel 0.8759;
2 r 11.4729; phi -0.1138; x 0.5699; y -0.0651; t_rel 0.8754;
2 r 11.4583; phi -0.1144; x 0.5692; y -0.0654; t_rel 0.8749;
2 r 11.4438; phi -0.1150; x 0.5684; y -0.0657; t_rel 0.8743;
2 r 11.4292; phi -0.1157; x 0.5676; y -0.0659; t_rel 0.8738;
2 r 11.4148; phi -0.1163; x 0.5669; y -0.0662; t_rel 0.8733;
2 r 11.4003; phi -0.1169; x 0.5661; y -0.0665; t_rel 0.8728;
2 r 11.3859; phi -0.1175; x 0.5654; y -0.0668; t_rel 0.8722;
2 r 11.3716; phi -0.1182; x 0.5646; y -0.0670; t_rel 0.8717;
2 r 11.3573; phi -0.1188; x 0.5639; y -0.0673; t_rel 0.8712;
2 r 11.3430; phi -0.1194; x 0.5631; y -0.0676; t_rel 0.8707;
2 r 11.3287; phi -0.1201; x 0.5624; y -0.0678; t_rel 0.8702;
2 r 11.3146; phi -0.1207; x 0.5616; y -0.0681; t_rel 0.8696;
2 r 11.3004; phi -0.1213; x 0.5609; y -0.0684; t_rel 0.8691;
2 r 11.2863; phi -0.1219; x 0.5601; y -0.0686; t_rel 0.8686;
2 r 11.2722; phi -0.1226; x 0.5594; y -0.0689; t_rel 0.8681;
2 r 11.2581; phi -0.1232; x 0.5586; y -0.0692; t_rel 0.8676;
2 r 11.2441; phi -0.1238; x 0.5579; y -0.0694; t_rel 0.8671;
2 r 11.2302; phi -0.1245; x 0.5572; y -0.0697; t_rel 0.8666;
2 r 11.2162; phi -0.1251; x 0.5564; y -0.0700; t_rel 0.8661;
2 r 11.2023; phi -0.1257; x 0.5557; y -0.0702; t_rel 0.8656;
2 r 11.1885; phi -0.1263; x 0.5550; y -0.0705; t_rel 0.8650;
2 r 11.1747; phi -0.1270; x 0.5542; y -0.0708; t_rel 0.8645;
2 r 11.1609; phi -0.1276; x 0.5535; y -0.0710; t_rel 0.8640;
2 r 11.1472; phi -0.1282; x 0.5528; y -0.0713; t_rel 0.8635;
2 r 11.1334; phi -0.1289; x 0.5521; y -0.0715; t_rel 0.8630;
2 r 11.1198; phi -0.1295; x 0.5513; y -0.0718; t_rel 0.8625;
2 r 11.1061; phi -0.1301; x 0.5506; y -0.0721; t_rel 0.8620;
2 r 11.0925; phi -0.1307; x 0.5499; y -0.0723; t_rel 0.8615;
2 r 11.0790; phi -0.1314; x 0.5492; y -0.0726; t_rel 0.8611;
2 r 11.0655; phi -0.1320; x 0.5485; y -0.0728; t_rel 0.8606;
2 r 11.0520; phi -0.1326; x 0.5477; y -0.0731; t_rel 0.8601;
2 r 11.0385; phi -0.1333; x 0.5470; y -0.0733; t_rel 0.8596;
2 r 11.0251; phi -0.1339; x 0.5463; y -0.0736; t_rel 0.8591;
2 r 11.0117; phi -0.1345; x 0.5456; y -0.0738; t_rel 0.8586;
2 r 10.9984; phi -0.1351; x 0.5449; y -0.0741; t_rel 0.8581;
2 r 10.9851; phi -0.1358; x 0.5442; y -0.0743; t_rel 0.8576;
2 r 10.9718; phi -0.1364; x 0.5435; y -0.0746; t_rel 0.8571;
2 r 10.9586; phi -0.1370; x 0.5428; y -0.0748; t_rel 0.8566;
2 r 10.9454; phi -0.1377; x 0.5421; y -0.0751; t_rel 0.8562;
2 r 10.9322; phi -0.1383; x 0.5414; y -0.0753; t_rel 0.8557;
2 r 10.9191; phi -0.1389; x 0.5407; y -0.0756; t_rel 0.8552;
2 r 10.9060; phi -0.1395; x 0.5400; y -0.0758; t_rel 0.8547;
2 r 10.8929; phi -0.1402; x 0.5393; y -0.0761; t_rel 0.8542;
2 r 10.8799; phi -0.1408; x 0.5386; y -0.0763; t_rel 0.8538;
2 r 10.8669; phi -0.1414; x 0.5379; y -0.0766; t_rel 0.8533;
2 r 10.8539; phi -0.1421; x 0.5372; y -0.0768; t_rel 0.8528;
2 r 10.8410; phi -0.1427; x 0.5365; y -0.0771; t_rel 0.8523;
2 r 10.8281; phi -0.1433; x 0.5359; y -0.0773; t_rel 0.8519;
2 r 10.8152; phi -0.1439; x 0.5352; y -0.0776; t_rel 0.8514;
2 r 10.8024; phi -0.1446; x 0.5345; y -0.0778; t_rel 0.8509;
2 r 10.7896; phi -0.1452; x 0.5338; y -0.0781; t_rel 0.8504;
2 r 10.7769; phi -0.1458; x 0.5331; y -0.0783; t_rel 0.8500;
